电影名称      ,导演        ,电影类型      ,国家      ,上映年份,评分
 
肖申克的救赎    ,弗兰克·德拉邦特  ,剧情/犯罪     ,美国      ,1994,9.7  
霸王别姬      ,陈凯歌       ,剧情/爱情/同性  ,中国大陆 / 中国香港,1993,9.6  
阿甘正传      ,罗伯特·泽米吉斯  ,剧情/爱情     ,美国      ,1994,9.5  
泰坦尼克号     ,詹姆斯·卡梅隆   ,剧情/爱情/灾难  ,美国 / 墨西哥,1997,9.5  
千与千寻      ,宫崎骏       ,剧情/动画/奇幻  ,日本      ,2001,9.4  
这个杀手不太冷   ,吕克·贝松     ,剧情/动作/犯罪  ,法国 / 美国 ,1994,9.4  
美丽人生      ,罗伯托·贝尼尼   ,剧情/喜剧/爱情/战争,意大利     ,1997,9.5  
星际穿越      ,克里斯托弗·诺兰  ,剧情/科幻/冒险  ,美国 / 英国 / 加拿大,2014,9.4  
盗梦空间      ,克里斯托弗·诺兰  ,剧情/科幻/悬疑/冒险,美国 / 英国 ,2010,9.4  
楚门的世界     ,彼得·威尔     ,剧情/科幻     ,美国      ,1998,9.4  
辛德勒的名单    ,史蒂文·斯皮尔伯格 ,剧情/历史/战争  ,美国      ,1993,9.5  
忠犬八公的故事   ,拉斯·霍尔斯道姆  ,剧情        ,美国 / 英国 ,2009,9.4  
海上钢琴师     ,朱塞佩·托纳多雷  ,剧情/音乐     ,意大利     ,1998,9.3  
三傻大闹宝莱坞   ,拉吉库马尔·希拉尼 ,剧情/喜剧/爱情/歌舞,印度      ,2009,9.2  
放牛班的春天    ,克里斯托夫·巴哈蒂 ,剧情/音乐     ,法国 / 瑞士 / 德国,2004,9.3  
机器人总动员    ,安德鲁·斯坦顿   ,科幻/动画/冒险  ,美国      ,2008,9.3  
疯狂动物城     ,拜伦·霍华德    ,喜剧/动画/冒险  ,美国      ,2016,9.2  
无间道       ,刘伟强       ,剧情/惊悚/犯罪  ,中国香港    ,2002,9.3  
控方证人      ,比利·怀尔德    ,剧情/悬疑/犯罪  ,美国      ,1957,9.6  
大话西游之大圣娶亲 ,刘镇伟       ,喜剧/爱情/奇幻/古装,中国香港 / 中国大陆,1995,9.2  
熔炉        ,黄东赫       ,剧情        ,韩国      ,2011,9.4  
教父        ,弗朗西斯·福特·科波拉,剧情/犯罪     ,美国      ,1972,9.3  
触不可及      ,奥利维埃·纳卡什  ,剧情/喜剧     ,法国      ,2011,9.3  
当幸福来敲门    ,加布里埃莱·穆奇诺 ,剧情/家庭/传记  ,美国      ,2006,9.2  
寻梦环游记     ,李·昂克里奇    ,喜剧/动画/音乐/奇幻,美国      ,2017,9.1  
该,页,爬,取,完,毕
末代皇帝      ,贝纳尔多·贝托鲁奇 ,剧情/传记/历史  ,英国 / 意大利 / 中国大陆 / 法国,1987,9.3  
龙猫        ,宫崎骏       ,动画/奇幻/冒险  ,日本      ,1988,9.2  
怦然心动      ,罗伯·莱纳     ,剧情/喜剧/爱情  ,美国      ,2010,9.1  
